,time_since_begin,total_ops
0,1.0,0.05
1,1.1,0.76
2,1.2,2.98
3,1.3,5.239999999999999
4,1.4,6.850000000000001
5,1.5,8.979999999999999
6,1.6,10.009999999999998
7,1.7,10.310000000000002
8,1.8,9.060000000000002
9,1.9,7.399999999999999
10,2.0,5.730000000000004
11,2.1,4.640000000000001
12,2.2,3.6899999999999977
13,2.3,2.8900000000000006
14,2.4,2.299999999999997
15,2.5,1.9200000000000017
16,2.6,1.519999999999996
17,2.7,1.3500000000000085
18,2.8,1.0499999999999972
19,2.9,0.8900000000000006
20,3.0,0.9099999999999966
21,3.1,0.7099999999999937
22,3.2,0.6700000000000017
23,3.3,0.5499999999999972
24,3.4,0.5300000000000011
25,3.5,0.4900000000000091
26,3.6,0.45999999999999375
27,3.7,0.39000000000000057
28,3.8,0.4399999999999977
29,3.9,0.4300000000000068
30,4.0,0.36999999999999034
31,4.1,0.3500000000000085
32,4.2,0.29999999999999716
33,4.3,0.28000000000000114
34,4.4,0.3100000000000023
35,4.5,0.21999999999999886
36,4.6,0.25
37,4.7,0.2600000000000051
38,4.8,0.19999999999998863
39,4.9,0.21999999999999886
40,5.0,0.22000000000001307
41,5.1,0.18999999999999773
42,5.2,0.18999999999999773
43,5.3,0.18999999999999773
44,5.4,0.1599999999999966
45,5.5,0.18000000000000682
46,5.6,0.14999999999999147
47,5.7,0.15000000000000568
48,5.8,0.1599999999999966
49,5.9,0.12000000000000455
50,6.0,0.14999999999999147
51,6.1,0.15000000000000568
52,6.2,0.12999999999999545
53,6.3,0.10999999999999943
54,6.4,0.12000000000000455
55,6.5,0.10000000000000853
56,6.6,0.09999999999999432
57,6.7,0.09999999999999432
58,6.8,0.07000000000000739
59,6.9,0.09000000000000341
60,7.0,0.06999999999999318
61,7.1,0.0799999999999983
62,7.2,0.060000000000002274
63,7.3,0.04999999999999716
64,7.4,0.04000000000000625
65,7.5,0.03999999999999204
66,7.6,0.04000000000000625
67,7.7,0.04999999999999716
68,7.8,0.04000000000000625
69,7.9,0.030000000000001137
70,8.0,0.03999999999999204
71,8.1,0.030000000000001137
72,8.2,0.030000000000001137
73,8.3,0.01999999999999602
74,8.4,0.030000000000001137
75,8.5,0.01999999999999602
76,8.6,0.04000000000000625
77,8.7,0.030000000000001137
78,8.8,0.010000000000005116
79,8.9,0.009999999999990905
80,9.0,0.030000000000001137
81,9.1,0.01999999999999602
82,9.2,0.010000000000005116
83,9.3,0.010000000000005116
84,9.4,0.01999999999999602
85,9.5,0.01999999999999602
86,9.6,0.020000000000010232
87,9.7,0.009999999999990905
88,9.8,0.010000000000005116
89,9.9,0.01999999999999602
90,10.0,0.04000000000000625
